city,country,id,latitude,longitude,state
Bensdorf,Deutschland,1504578.0,52.409486,12.364519,Brandenburg
Salzgitter,Deutschland,177540.0,52.183375,10.445595,Niedersachsen
Alsbach-Hähnlein,Deutschland,2287818.0,49.745633,8.591033,Hessen
Jemgum,Deutschland,986710.0,53.262937,7.385104,Niedersachsen
Duisburg,Deutschland,17200.0,51.477529,6.794857,Nordrhein-Westfalen
Barßel,Deutschland,1033637.0,53.129169,7.770299,Niedersachsen
Zwickau,Deutschland,1410695.0,50.794179,12.484521,Sachsen
Köln,Deutschland,1546685.0,50.935667,6.95142,Nordrhein-Westfalen
Plauen,Deutschland,1711305.0,50.498715,12.136266,Sachsen
Schwarzenbach a.d.Saale,Deutschland,1167927.0,50.219744,11.945499,Bayern
Menden (Sauerland),Deutschland,144966.0,51.450727,7.752865,Nordrhein-Westfalen
Eschwege,Deutschland,17016.0,51.18877,10.06025,Hessen
Unterlübbe,Deutschland,1922610.0,52.287877,8.767254,Nordrhein-Westfalen
Iserlohn,Deutschland,146980.0,51.37477,7.67318,Nordrhein-Westfalen
Verwaltungsgemeinschaft Giengen an der Brenz,Deutschland,420298.0,48.584287,10.178996,Baden-Württemberg
Hamburg,Deutschland,1608308.0,53.58943,10.00729,Hamburg
Verwaltungsgemeinschaft Zell am Harmersbach,Deutschland,629859.0,48.39806,8.078199,Baden-Württemberg
Rostock,Deutschland,751343.0,54.091066,12.149567,Mecklenburg-Vorpommern
Seesen,Deutschland,1196480.0,51.892021,10.176846,Niedersachsen
Euskirchen,Deutschland,2411264.0,50.653103,6.799018,Nordrhein-Westfalen
Stuttgart,Deutschland,1486547.0,48.724785,9.120228,Baden-Württemberg
München,Deutschland,688093.0,48.122925,11.609083,Bayern
Nürnberg,Deutschland,593735.0,49.42652,11.03887,Bayern
Ribnitz-Damgarten,Deutschland,866496.0,54.23852,12.40381,Mecklenburg-Vorpommern
Wuppertal,Deutschland,159262.0,51.286386,7.229402,Nordrhein-Westfalen
Berlin,Deutschland,306990.0,52.554348,13.417701,Berlin
Hamburg,Deutschland,1196350.0,53.49792,10.002124,Hamburg
München,Deutschland,870776.0,48.14991,11.57245,Bayern
Nußdorf am Inn,Deutschland,1470266.0,47.743369,12.15394,Bayern
Bad Kreuznach,Deutschland,751442.0,49.80142,7.838091,Rheinland-Pfalz
Verwaltungsgemeinschaft Aalen,Deutschland,691853.0,48.828664,10.082773,Baden-Württemberg
Ismaning,Deutschland,2509275.0,48.231628,11.687733,Bayern
Berlin,Deutschland,1594432.0,52.434843,13.299345,Berlin
Stuttgart,Deutschland,1375303.0,48.84156,9.20502,Baden-Württemberg
Berlin,Deutschland,2058341.0,52.491855,13.52497,Berlin
Finsterwald,Deutschland,592233.0,47.744646,11.722718,Bayern
Hamburg,Deutschland,1163937.0,53.611909,9.952446,Hamburg
Darmstadt,Deutschland,1522640.0,49.871865,8.638624,Hessen
Menden (Sauerland),Deutschland,2405059.0,51.468173,7.76905,Nordrhein-Westfalen
Springe,Deutschland,1502041.0,52.240503,9.666169,Niedersachsen
Berlin,Deutschland,1508895.0,52.513246,13.266231,Berlin
Haaren,Deutschland,1271526.0,51.091664,6.037159,Nordrhein-Westfalen
Geseke,Deutschland,1899865.0,51.630869,8.51297,Nordrhein-Westfalen
Biedenkopf,Deutschland,883.0,50.881908,8.545092,Hessen
Laberweinting,Deutschland,524065.0,48.7947,12.31227,Bayern
Castrop-Rauxel,Deutschland,2400383.0,51.555662,7.30148,Nordrhein-Westfalen
Leinfelden-Echterdingen,Deutschland,867486.0,48.693987,9.192245,Baden-Württemberg
Duisburg,Deutschland,1612980.0,51.443728,6.774804,Nordrhein-Westfalen
Verwaltungsverband Mittleres Schussental,Deutschland,2604203.0,47.78352,9.615646,Baden-Württemberg
Bad Bergzabern,Deutschland,2285580.0,49.076932,8.0,Rheinland-Pfalz
Gemarkung Remscheid,Deutschland,2023177.0,51.178193,7.219334,Nordrhein-Westfalen
Peine,Deutschland,2204771.0,52.3382,10.244627,Niedersachsen
Markkleeberg,Deutschland,1496693.0,51.282958,12.369748,Sachsen
Schlangen,Deutschland,1818990.0,51.80478,8.822204,Nordrhein-Westfalen
Hoyerswerda - Wojerecy,Deutschland,1282523.0,51.428307,14.236854,Sachsen
Wolfsburg,Deutschland,608254.0,52.434506,10.792761,Niedersachsen
Bielefeld,Deutschland,1190407.0,51.98996,8.509587,Nordrhein-Westfalen
Salzbergen,Deutschland,275628.0,52.325171,7.427379,Niedersachsen
Gräfenhainichen,Deutschland,371306.0,51.731721,12.448718,Sachsen-Anhalt
Langenweißbach,Deutschland,1576249.0,50.731033,12.494895,Sachsen
Verwaltungsgemeinschaft Gottmadingen,Deutschland,684537.0,47.735763,8.775906,Baden-Württemberg
Höchberg,Deutschland,1965449.0,49.772661,9.871018,Bayern
Verwaltungsgemeinschaft Bruchsal,Deutschland,2121465.0,49.138746,8.56123,Baden-Württemberg
Berlin,Deutschland,165888.0,52.444154,13.379635,Berlin
Lügde,Deutschland,1970965.0,51.959989,9.250257,Nordrhein-Westfalen
Clausthal-Zellerfeld,Deutschland,552812.0,51.837351,10.388884,Niedersachsen
Dresden,Deutschland,1879461.0,51.048625,13.743939,Sachsen
Legden,Deutschland,319436.0,52.041013,7.090236,Nordrhein-Westfalen
Gifhorn,Deutschland,1340470.0,52.482957,10.544684,Niedersachsen
Stuttgart,Deutschland,732.0,48.725381,9.122552,Baden-Württemberg
Erkner,Deutschland,823157.0,52.42762,13.75032,Brandenburg
Hamburg,Deutschland,2268710.0,53.554206,9.949472,Hamburg
Arnstadt,Deutschland,816001.0,50.819121,10.950947,Thüringen
Grafenau,Deutschland,1112066.0,48.860104,13.391046,Bayern
,,1366696.0,0.0,0.0,
Gemeindeverwaltungsverband Ehingen (Donau),Deutschland,197332.0,48.261773,9.735574,Baden-Württemberg
Bad Segeberg,Deutschland,1590250.0,53.93905,10.31068,Schleswig-Holstein
Overath,Deutschland,379482.0,50.942631,7.297301,Nordrhein-Westfalen
Essen,Deutschland,1442455.0,51.4395,7.055111,Nordrhein-Westfalen
Verwaltungsgemeinschaft Erftal,Deutschland,1820949.0,49.716226,9.264874,Bayern
Gemeindeverwaltungsverband Eislingen-Ottenbach-Salach,Deutschland,877397.0,48.69694,9.706345,Baden-Württemberg
Düsseldorf,Deutschland,1803691.0,51.227771,6.716528,Nordrhein-Westfalen
Heusenstamm,Deutschland,1225593.0,50.05339,8.79762,Hessen
Uelzen,Deutschland,28308.0,52.986991,10.548136,Niedersachsen
Peine,Deutschland,185602.0,52.29854,10.27202,Niedersachsen
Werne,Deutschland,1874983.0,51.655024,7.632592,Nordrhein-Westfalen
Gummersbach,Deutschland,2293639.0,50.983472,7.531378,Nordrhein-Westfalen
Wittislingen (VGem),Deutschland,752413.0,48.643146,10.43102,Bayern
Merchweiler,Deutschland,1546770.0,49.35708,7.05659,Saarland
Hennef (Sieg),Deutschland,2182426.0,50.769124,7.301992,Nordrhein-Westfalen
Oberkochen,Deutschland,1558586.0,48.783219,10.101118,Baden-Württemberg
Baunatal,Deutschland,795904.0,51.251761,9.429134,Hessen
Essen,Deutschland,1048801.0,51.4347,7.00877,Nordrhein-Westfalen
Verwaltungsgemeinschaft Friedrichshafen,Deutschland,823095.0,47.666501,9.366628,Baden-Württemberg
Stuttgart,Deutschland,1651265.0,48.724997,9.119569,Baden-Württemberg
Berlin,Deutschland,775315.0,52.527606,13.400306,Berlin
Flensburg - Flensborg,Deutschland,2108700.0,54.75916,9.41014,Schleswig-Holstein
Bensheim,Deutschland,2379986.0,49.672447,8.584928,Hessen
Ludwigsburg,Deutschland,1165949.0,48.8921,9.16959,Baden-Württemberg
Verwaltungsgemeinschaft Schwäbisch Gmünd,Deutschland,1996444.0,48.787828,9.76054,Baden-Württemberg
Templin,Deutschland,1636858.0,53.112122,13.530556,Brandenburg
Berlin,Deutschland,1368968.0,52.428522,13.586725,Berlin
Leipzig,Deutschland,269924.0,51.344858,12.374801,Sachsen
Verwaltungsverband Flein-Talheim,Deutschland,2606834.0,49.106917,9.208778,Baden-Württemberg
Regensburg,Deutschland,2266166.0,48.998755,12.168205,Bayern
Frankfurt am Main,Deutschland,520398.0,50.122639,8.706889,Hessen
Rheinstetten,Deutschland,609001.0,48.98048,8.32384,Baden-Württemberg
Gladbeck,Deutschland,1277554.0,51.560705,6.981014,Nordrhein-Westfalen
Verwaltungsgemeinschaft Biberach an der Riß,Deutschland,692897.0,48.082588,9.778534,Baden-Württemberg
Röbel-Müritz,Deutschland,860747.0,53.329319,12.721844,Mecklenburg-Vorpommern
Essenbach,Deutschland,1592677.0,48.608598,12.21403,Bayern
Berlin,Deutschland,820448.0,52.52723,13.449398,Berlin
Nittendorf,Deutschland,1888032.0,49.02592,11.95738,Bayern
Recklinghausen,Deutschland,1501689.0,51.611615,7.200442,Nordrhein-Westfalen
Wörth an der Donau (VGem),Deutschland,642321.0,49.000984,12.36555,Bayern
Münster,Deutschland,2243211.0,51.93493,7.64853,Nordrhein-Westfalen
Stuttgart,Deutschland,1827816.0,48.72458,9.120014,Baden-Württemberg
Reutlingen,Deutschland,862579.0,48.513417,9.231461,Baden-Württemberg
Bitburg,Deutschland,321578.0,49.964713,6.531593,Rheinland-Pfalz
Hannover,Deutschland,1433774.0,52.412577,9.826541,Niedersachsen
Duisburg,Deutschland,2039999.0,51.430542,6.773815,Nordrhein-Westfalen
Hardthausen am Kocher,Deutschland,1994720.0,49.242071,9.402872,Baden-Württemberg
Fulda,Deutschland,1901368.0,50.529509,9.690485,Hessen
Carbäk,Deutschland,1527236.0,54.075783,12.202446,Mecklenburg-Vorpommern
Kamen,Deutschland,1401905.0,51.58769,7.66173,Nordrhein-Westfalen
Rothenburg ob der Tauber (VGem),Deutschland,2084688.0,49.375079,10.23375,Bayern
Gemeindeverwaltungsverband Winterlingen,Deutschland,77468.0,48.19158,9.08887,Baden-Württemberg
Bobingen,Deutschland,1718287.0,48.265333,10.845111,Bayern
Köln,Deutschland,2287729.0,50.91427,6.96214,Nordrhein-Westfalen
Weeze,Deutschland,1395653.0,51.629785,6.203879,Nordrhein-Westfalen
Lübbecke,Deutschland,2206532.0,52.321442,8.625877,Nordrhein-Westfalen
Hannover,Deutschland,1871492.0,52.35889,9.710851,Niedersachsen
Ahlen,Deutschland,1525385.0,51.763429,7.903444,Nordrhein-Westfalen
,,2411686.0,11.531181,48.17305,
Porta Westfalica,Deutschland,1046438.0,52.2615,8.90409,Nordrhein-Westfalen
Regensburg,Deutschland,1231166.0,48.980851,12.174173,Bayern
Wolfsburg,Deutschland,1541378.0,52.44442,10.80644,Niedersachsen
Regensburg,Deutschland,2581810.0,49.015586,12.063147,Bayern
Köln,Deutschland,1489636.0,50.989715,6.888032,Nordrhein-Westfalen
Aschheim,Deutschland,1165889.0,48.149178,11.682685,Bayern
Bochum,Deutschland,998926.0,51.449967,7.172105,Nordrhein-Westfalen
,,2470130.0,0.0,0.0,
Betzdorf-Gebhardshain,Deutschland,2284653.0,50.791133,7.869383,Rheinland-Pfalz
Schwedt/Oder,Deutschland,1989101.0,53.067615,14.293735,Brandenburg
Witten,Deutschland,630174.0,51.435457,7.336024,Nordrhein-Westfalen
Hannover,Deutschland,1224536.0,52.359166,9.668141,Niedersachsen
Blieskastel,Deutschland,2249201.0,49.247141,7.259351,Saarland
Oberwildenau,Deutschland,705783.0,49.589478,12.118019,Bayern
Hamburg,Deutschland,1189327.0,53.546362,10.039176,Hamburg
Verwaltungsgemeinschaft Boxberg,Deutschland,90618.0,49.4798,9.63705,Baden-Württemberg
Aachen,Deutschland,2123526.0,50.77978,6.08158,Nordrhein-Westfalen
Hannover,Deutschland,2266382.0,52.399095,9.775545,Niedersachsen
Gießen,Deutschland,1340856.0,50.609573,8.716096,Hessen
Regensburg,Deutschland,2250276.0,49.01465,12.08656,Bayern
Neusalza-Spremberg,Deutschland,125958.0,51.037488,14.530556,Sachsen
